incident_num,offence_code_group,occurred_on_date,UCR_part,latitude,longitude
I182000762,Larceny,"03/01/2018 17:00","Part One",4.234.797.240,"-7.107.849.582"
I182002552,Larceny,"03/01/2018 17:47","Part One",4.229.098.101,"-7.107.589.348"
I182000752,Larceny,"03/01/2018 18:00","Part One",4.229.623.685,"-7.104.853.645"
I182000755,"Aggravated Assault","03/01/2018 18:00","Part One",4.236.240.281,"-7.106.954.652"
I182001824,"Commercial Burglary","03/01/2018 18:00","Part One",4.235.110.203,"-7.105.735.186"
I182001825,"Commercial Burglary","03/01/2018 18:00","Part One",4.235.110.203,"-7.105.735.186"
I182000750,"Aggravated Assault","03/01/2018 18:09","Part One",4.231.860.134,"-7.108.405.792"
I182000756,Larceny,"03/01/2018 18:24","Part One",4.236.489.527,"-7.106.050.249"
I182000766,"Aggravated Assault","03/01/2018 18:59","Part One",4.233.401.829,"-7.107.638.124"
I182000774,"Aggravated Assault","03/01/2018 19:25","Part One",4.230.664.081,"-7.108.584.976"
I182000775,Larceny,"03/01/2018 19:35","Part One",4.233.152.148,"-7.107.085.307"
I182000780,Larceny,"03/01/2018 20:36","Part One",4.233.790.280,"-7.105.611.348"
I182000807,Larceny,"03/01/2018 21:23","Part One",4.231.252.055,"-7.106.434.966"
I182000823,Larceny,"03/01/2018 23:20","Part One",4.231.696.650,"-7.108.254.058"
I182003663,Larceny,"04/01/2018 01:00","Part One",4.235.023.814,"-7.108.356.549"
I182000837,"Larceny From Motor Vehicle","04/01/2018 01:48","Part One",4.235.235.362,"-7.105.815.283"
I182003149,Larceny,"04/01/2018 04:00","Part One",4.233.836.272,"-7.115.441.001"
I182000848,Robbery,"04/01/2018 04:10","Part One",4.235.009.599,"-7.107.732.110"
I182000859,"Larceny From Motor Vehicle","04/01/2018 08:20","Part One",4.235.100.166,"-7.105.896.882"
I182000905,Larceny,"04/01/2018 09:30","Part One",4.232.639.844,"-7.111.152.626"
I182000875,"Larceny From Motor Vehicle","04/01/2018 10:23","Part One",4.238.859.616,"-7.100.363.555"
I182000889,Larceny,"04/01/2018 10:34","Part One",4.227.413.021,"-7.111.674.617"
I182001295,"Auto Theft","04/01/2018 13:00","Part One",4.234.412.484,"-7.105.685.339"
I182000972,Larceny,"04/01/2018 16:30","Part One",4.226.994.732,"-7.109.380.308"
I182001066,"Larceny From Motor Vehicle","04/01/2018 22:00","Part One",4.227.194.390,"-7.106.253.785"
I182001433,"Larceny From Motor Vehicle","04/01/2018 22:00","Part One",4.230.301.051,"-7.108.183.060"
I182001031,"Aggravated Assault","04/01/2018 22:11","Part One",4.228.492.596,"-7.107.135.254"
I182001042,"Residential Burglary","04/01/2018 22:30","Part One",4.230.433.950,"-7.108.477.887"
I182004098,Larceny,"05/01/2018 00:01","Part One",4.233.680.471,"-7.102.818.518"
I182001043,"Residential Burglary","05/01/2018 00:37","Part One",4.232.224.255,"-7.108.277.356"
I182001053,Robbery,"05/01/2018 04:00","Part One",4.232.900.380,"-7.107.838.214"
I182001183,Larceny,"05/01/2018 07:00","Part One",4.233.836.272,"-7.115.441.001"
I182001060,"Residential Burglary","05/01/2018 07:24","Part One",4.234.977.000,"-7.108.529.411"
I182076301,"Aggravated Assault","05/01/2018 11:00","Part One",4.235.521.625,"-7.106.012.863"
I172095412,"Auto Theft","05/01/2018 12:05","Part One",4.229.083.470,"-7.106.288.798"
I182001117,Larceny,"05/01/2018 12:24","Part One",4.227.839.920,"-7.106.636.305"
I182001122,"Residential Burglary","05/01/2018 13:15","Part One",4.234.280.177,"-7.110.069.510"
I182001304,Larceny,"05/01/2018 13:45","Part One",4.234.730.980,"-7.107.915.167"
I182001129,Larceny,"05/01/2018 14:16","Part One",4.234.932.471,"-7.108.014.801"
I182001149,Larceny,"05/01/2018 14:32","Part One",4.236.122.324,"-7.106.593.235"
I182001136,"Residential Burglary","05/01/2018 14:42","Part One",4.234.086.177,"-7.116.020.154"
I182001310,"Commercial Burglary","05/01/2018 15:00","Part One",4.233.800.322,"-7.102.723.556"
I182001140,"Auto Theft","05/01/2018 15:20","Part One",4.231.956.879,"-7.107.776.264"
I182001204,"Larceny From Motor Vehicle","05/01/2018 15:30","Part One",4.235.913.932,"-7.106.196.905"
I182001220,Larceny,"05/01/2018 17:50","Part One",4.235.602.373,"-7.106.177.615"
I182001203,Robbery,"05/01/2018 18:52","Part One",4.229.212.974,"-7.107.175.746"
I182006310,"Auto Theft","05/01/2018 19:06","Part One",4.235.143.483,"-7.106.969.334"
I182001201,Larceny,"05/01/2018 19:13","Part One",4.233.697.857,"-7.105.500.277"
I182001810,Larceny,"05/01/2018 19:30","Part One",4.230.098.889,"-7.112.708.146"
I182001211,"Aggravated Assault","05/01/2018 19:36","Part One",4.234.518.280,"-7.110.066.932"
I182001303,"Larceny From Motor Vehicle","05/01/2018 20:00","Part One",4.234.496.729,"-7.106.382.224"
I182001225,"Aggravated Assault","05/01/2018 20:57","Part One",4.229.443.480,"-7.106.764.205"
I182001244,Larceny,"05/01/2018 23:01","Part One",4.234.442.266,"-7.109.833.083"
I182001235,"Auto Theft","05/01/2018 23:50","Part One",4.228.907.082,"-7.106.338.098"
I182001634,Larceny,"06/01/2018 00:00","Part One",4.235.407.456,"-7.105.533.533"
I182001282,"Residential Burglary","06/01/2018 03:27","Part One",4.231.779.354,"-7.104.210.959"
I182001298,"Auto Theft","06/01/2018 08:38","Part One",4.235.486.542,"-7.113.259.322"
I182001365,"Aggravated Assault","06/01/2018 13:00","Part One",4.233.555.954,"-7.107.436.364"
I182001370,Larceny,"06/01/2018 13:08","Part One",4.234.241.506,"-7.109.521.114"
I182001393,"Larceny From Motor Vehicle","06/01/2018 13:40","Part One",4.239.007.431,"-7.100.898.571"
I182001394,Robbery,"06/01/2018 14:55","Part One",4.234.334.672,"-7.106.643.142"
I182001383,"Larceny From Motor Vehicle","06/01/2018 15:10","Part One",4.234.797.240,"-7.107.849.582"
I182001412,"Larceny From Motor Vehicle","06/01/2018 15:29","Part One",4.230.144.714,"-7.107.681.348"
I182001838,Larceny,"06/01/2018 15:30","Part One",4.234.899.228,"-7.103.930.255"
I182001864,Larceny,"06/01/2018 16:00","Part One",4.234.587.157,"-7.108.938.851"
I182006282,"Auto Theft","06/01/2018 16:02","Part One",4.235.143.483,"-7.106.969.334"
I182001670,Larceny,"06/01/2018 16:30","Part One",4.235.157.076,"-7.107.186.599"
I182001405,Larceny,"06/01/2018 16:47","Part One",4.230.989.454,"-7.108.231.854"
I182001425,Robbery,"06/01/2018 17:21","Part One",4.233.152.148,"-7.107.085.307"
I182001567,Larceny,"06/01/2018 17:25","Part One",4.235.913.227,"-7.107.074.326"
I182001413,"Aggravated Assault","06/01/2018 17:27","Part One",4.235.165.316,"-7.107.056.101"
I182001430,Larceny,"06/01/2018 17:30","Part One",4.235.512.339,"-7.106.087.980"
I182001566,"Larceny From Motor Vehicle","06/01/2018 18:00","Part One",4.233.506.218,"-7.109.316.781"
I182001565,"Auto Theft","06/01/2018 18:30","Part One",4.238.512.136,"-7.101.150.101"
I182001456,Larceny,"06/01/2018 20:38","Part One",4.235.512.339,"-7.106.087.980"
I182001450,"Auto Theft","06/01/2018 20:52","Part One",4.234.601.613,"-7.109.381.210"
I182001452,"Auto Theft","06/01/2018 20:55","Part One",4.230.433.950,"-7.108.477.887"
I182001455,Larceny,"06/01/2018 21:12","Part One",4.235.602.373,"-7.106.177.615"
I182001943,"Auto Theft","06/01/2018 21:30","Part One",4.236.243.437,"-7.106.391.810"
I182001466,Larceny,"06/01/2018 22:17","Part One",4.236.064.470,"-7.107.086.192"
I182001488,Larceny,"06/01/2018 23:41","Part One",4.226.470.249,"-7.111.898.016"
I182001507,Larceny,"07/01/2018 01:00","Part One",4.235.754.620,"-7.105.881.953"
I182001516,Robbery,"07/01/2018 02:25","Part One",4.234.355.868,"-7.108.734.146"
I182002104,Larceny,"07/01/2018 03:00","Part One",4.231.893.878,"-7.109.826.197"
I182001522,"Residential Burglary","07/01/2018 03:59","Part One",4.237.915.428,"-7.106.022.431"
I182001530,Robbery,"07/01/2018 05:37","Part One",4.230.938.437,"-7.108.262.277"
I182001550,"Larceny From Motor Vehicle","07/01/2018 09:30","Part One",4.235.649.296,"-7.105.259.107"
I182001558,"Auto Theft","07/01/2018 10:15","Part One",4.229.125.387,"-7.107.551.334"
I182001563,Larceny,"07/01/2018 10:50","Part One",4.226.283.035,"-7.110.809.203"
I182006628,"Auto Theft","07/01/2018 11:06","Part One",4.235.143.483,"-7.106.969.334"
I182001574,"Commercial Burglary","07/01/2018 11:08","Part One",4.235.555.882,"-7.105.849.336"
I182001597,Larceny,"07/01/2018 12:17","Part One",4.227.413.021,"-7.111.674.617"
I182001600,"Aggravated Assault","07/01/2018 13:31","Part One",4.230.090.969,"-7.107.425.843"
I182001594,Larceny,"07/01/2018 13:35","Part One",4.233.506.218,"-7.109.316.781"
I182001815,"Auto Theft","07/01/2018 14:00","Part One",4.232.174.931,"-7.108.191.313"
I182001809,"Larceny From Motor Vehicle","07/01/2018 16:00","Part One",4.237.736.388,"-7.105.791.376"
